,Data from this report have been produced for the sole use of your institution; do not distribute outside of your institution's library.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,©Science-Metrix Inc. & 1science Inc. 2018. Any reproduction or distribution is strictly prohibited.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Providers / Packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Journals associated with a provider or a package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,High is good,High is good,High is good,High is good,High is good,Low is good,Low is good,High % value means package/journal easier to substitute,,,,,>1 is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Usage by your institution, 2008-2017 (except for downloads)",,,,,,,,,"OA articles in 1findr, 2008-2017",,,"Scopus, 2008-2017",,Subject Areas,,,Papers per journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,References to journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,% of OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,Total papers in Scopus per journal/provider,,,,,,,,,,Downloads JR1,,,,JID,Journal Name(s) provided by the client
,Sort,Journal,ISSN/eISSN,Provider,Type,"Downloads 
JR1 2014-2017",Downloads JR1 2017,Downloads JR5 2017 in 2017,References,Papers,"Synthetic 
Usage","Journal 
Tier","Subfield 
Tier",Duplicates (JR1 2017),Papers,%,Trend,Papers,ARIF,Domain,Field,Subfield,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2015,2016,2017,2018,,
,1,AIP,,AIP,Package,,45399.00,2890.00,"4,746",344,"99,072",5,10,57%,"67,598",39.60%,,"170,826",1.02,N/A,N/A,N/A,34,29,28,37,46,48,33,34,37,18,213,260,315,459,531,718,523,678,692,357,"7,318","6,863","7,368","7,507","7,780","8,004","7,971","6,699","6,263","1,825",40.10%,39.60%,43.80%,42.30%,40.00%,40.40%,40.30%,39.10%,38.20%,22.40%,"18,230","17,335","16,811","17,753","19,450","19,795","19,773","17,130","16,398","8,151","26,249",530,"45,399","13,608",,
